YEAR,ACPR_CODE_2018,ACPR_NAME_2018,STATE,CARE_TYPE,total_admissions,pct_indigenous,pct_female,pct_cald
2024,312,South Coast,QLD,Permanent residential care,1771,0.0,0.5866741953698476,0.059853190287972896
2024,312,South Coast,QLD,Respite residential care,1747,0.0,0.5861476817401259,0.044647967945048654
2024,312,South Coast,QLD,Short-term restorative care,805,0.0,0.5875776397515527,0.09813664596273292
2024,312,South Coast,QLD,Transition care,354,0.0,0.5282485875706214,0.03389830508474576
2024,313,South West,QLD,Home care,160,0.0,0.58125,0.05
2024,313,South West,QLD,Permanent residential care,57,0.0,0.6666666666666666,0.08771929824561403
2024,313,South West,QLD,Respite residential care,59,0.0,0.6271186440677966,0.1016949152542373
2024,314,Sunshine Coast,QLD,Home care,2574,0.0,0.5932400932400932,0.04195804195804196
2024,314,Sunshine Coast,QLD,Permanent residential care,1931,0.0,0.5779388917659244,0.03935784567581564
2024,314,Sunshine Coast,QLD,Respite residential care,2983,0.0,0.5611800201139792,0.03586992960107275
2024,314,Sunshine Coast,QLD,Short-term restorative care,666,0.0,0.6006006006006006,0.07357357357357357
2024,314,Sunshine Coast,QLD,Transition care,211,0.0,0.5592417061611374,0.018957345971563982
2024,315,West Moreton,QLD,Home care,331,0.0,0.6042296072507553,0.03625377643504532
2024,315,West Moreton,QLD,Permanent residential care,534,0.0,0.5898876404494382,0.06554307116104868
2024,315,West Moreton,QLD,Respite residential care,335,0.0,0.5701492537313433,0.0626865671641791
2024,315,West Moreton,QLD,Transition care,183,0.0,0.6174863387978142,0.04371584699453552
2024,316,Wide Bay,QLD,Home care,859,0.0,0.5774155995343423,0.05587892898719441
2024,316,Wide Bay,QLD,Permanent residential care,1045,0.0,0.5674641148325359,0.03732057416267943
2024,316,Wide Bay,QLD,Respite residential care,821,0.0,0.5809987819732034,0.0438489646772229
2024,316,Wide Bay,QLD,Transition care,213,0.0,0.5492957746478874,0.051643192488262914
2024,401,Eyre Peninsula,SA,Home care,816,0.0,0.6139705882352942,0.2107843137254902
2024,401,Eyre Peninsula,SA,Permanent residential care,84,0.0,0.5952380952380952,0.047619047619047616
2024,401,Eyre Peninsula,SA,Respite residential care,128,0.0,0.4296875,0.09375
2024,402,"Hills, Mallee & Southern",SA,Home care,455,0.0,0.5582417582417583,0.0967032967032967
2024,402,"Hills, Mallee & Southern",SA,Permanent residential care,588,0.0,0.6037414965986394,0.04931972789115646
2024,402,"Hills, Mallee & Southern",SA,Respite residential care,1007,0.0,0.5531281032770605,0.05660377358490566
2024,402,"Hills, Mallee & Southern",SA,Short-term restorative care,63,0.0,0.5079365079365079,0.031746031746031744
2024,402,"Hills, Mallee & Southern",SA,Transition care,267,0.0,0.6067415730337079,0.10861423220973783
2024,403,Metropolitan East,SA,Home care,2794,0.0,0.6195418754473873,0.15748031496062992
2024,403,Metropolitan East,SA,Permanent residential care,941,0.0,0.6153028692879915,0.1275239107332625
2024,403,Metropolitan East,SA,Respite residential care,1541,0.0,0.6385463984425698,0.14471122647631407
2024,403,Metropolitan East,SA,Short-term restorative care,197,0.0,0.6446700507614214,0.15228426395939088
2024,404,Metropolitan North,SA,Home care,850,0.0,0.6270588235294118,0.0976470588235294
2024,404,Metropolitan North,SA,Permanent residential care,1245,0.0,0.58714859437751,0.10120481927710843
2024,404,Metropolitan North,SA,Respite residential care,2047,0.0,0.5725451880801172,0.1172447484123107
2024,404,Metropolitan North,SA,Short-term restorative care,53,0.0,0.49056603773584906,0.07547169811320754
2024,404,Metropolitan North,SA,Transition care,242,0.0,0.6735537190082644,0.14049586776859505
2024,405,Metropolitan South,SA,Home care,1371,0.0,0.6272793581327498,0.0736688548504741
2024,405,Metropolitan South,SA,Permanent residential care,1501,0.0,0.6209193870752832,0.05729513657561625
2024,405,Metropolitan South,SA,Respite residential care,2375,0.0,0.6054736842105263,0.06315789473684211
2024,405,Metropolitan South,SA,Short-term restorative care,105,0.0,0.638095238095238,0.0761904761904762
2024,405,Metropolitan South,SA,Transition care,223,0.0,0.5739910313901345,0.11659192825112108
2024,406,Metropolitan West,SA,Home care,1098,0.0,0.6293260473588342,0.35792349726775957
2024,406,Metropolitan West,SA,Permanent residential care,901,0.0,0.5871254162042175,0.2286348501664817
2024,406,Metropolitan West,SA,Respite residential care,1575,0.0,0.5980952380952381,0.25333333333333335
2024,406,Metropolitan West,SA,Short-term restorative care,70,0.0,0.6714285714285714,0.18571428571428572
2024,406,Metropolitan West,SA,Transition care,389,0.0,0.6323907455012854,0.2236503856041131
2024,407,Mid North,SA,Home care,132,0.0,0.6287878787878788,0.09090909090909091
2024,407,Mid North,SA,Permanent residential care,143,0.0,0.6573426573426573,0.04895104895104895
2024,407,Mid North,SA,Respite residential care,159,0.0,0.710691823899371,0.0440251572327044
2024,408,Riverland,SA,Home care,246,0.0,0.6260162601626016,0.15040650406504066
2024,408,Riverland,SA,Permanent residential care,134,0.0,0.6492537313432836,0.08955223880597014
2024,408,Riverland,SA,Respite residential care,238,0.0,0.6050420168067226,0.1134453781512605
2024,409,South East,SA,Home care,200,0.0,0.63,0.06
2024,409,South East,SA,Permanent residential care,216,0.0,0.6018518518518519,0.041666666666666664
2024,409,South East,SA,Respite residential care,412,0.0,0.5752427184466019,0.055825242718446605
2024,410,Flinders & Far North,SA,Home care,77,0.0,0.6493506493506493,0.06493506493506493
2024,410,Flinders & Far North,SA,Permanent residential care,65,0.0,0.6461538461538462,0.13846153846153847
2024,410,Flinders & Far North,SA,Respite residential care,98,0.0,0.6632653061224489,0.11224489795918367
2024,411,"Yorke, Lower North & Barossa",SA,Home care,316,0.0,0.6265822784810127,0.0379746835443038
2024,411,"Yorke, Lower North & Barossa",SA,Permanent residential care,432,0.0,0.6018518518518519,0.04861111111111111
2024,411,"Yorke, Lower North & Barossa",SA,Respite residential care,708,0.0,0.5805084745762712,0.0480225988700565
2024,501,Goldfields,WA,Home care,58,0.0,0.5689655172413793,0.06896551724137931
2024,501,Goldfields,WA,Permanent residential care,118,0.0,0.5423728813559322,0.09322033898305085
2024,501,Goldfields,WA,Respite residential care,79,0.0,0.569620253164557,0.1518987341772152
2024,502,Great Southern,WA,Home care,157,0.0,0.5414012738853503,0.012738853503184714
2024,502,Great Southern,WA,Permanent residential care,186,0.0,0.532258064516129,0.021505376344086023
2024,502,Great Southern,WA,Respite residential care,86,0.0,0.5348837209302325,0.0
2024,502,Great Southern,WA,Short-term restorative care,9,0.0,0.7777777777777778,0.0
2024,502,Great Southern,WA,Transition care,43,0.0,0.5813953488372093,0.0
2024,503,Kimberley,WA,Home care,18,0.0,0.5555555555555556,0.2777777777777778
2024,503,Kimberley,WA,Permanent residential care,46,0.0,0.45652173913043476,0.3695652173913043
2024,503,Kimberley,WA,Respite residential care,39,0.0,0.7692307692307693,0.3333333333333333
2024,503,Kimberley,WA,Transition care,22,0.0,0.9090909090909091,0.45454545454545453
2024,504,Metropolitan East,WA,Home care,1838,0.0,0.6213275299238302,0.14091403699673558
2024,504,Metropolitan East,WA,Permanent residential care,1214,0.0,0.5593080724876441,0.08896210873146623
2024,504,Metropolitan East,WA,Respite residential care,739,0.0,0.5588633288227334,0.11096075778078485
2024,504,Metropolitan East,WA,Short-term restorative care,472,0.0,0.614406779661017,0.13983050847457626
2024,504,Metropolitan East,WA,Transition care,351,0.0,0.5925925925925926,0.09686609686609686
2024,505,Metropolitan North,WA,Home care,2519,0.0,0.6077808654227869,0.13656212782850338
2024,505,Metropolitan North,WA,Permanent residential care,1895,0.0,0.612664907651715,0.09551451187335093
2024,505,Metropolitan North,WA,Respite residential care,1203,0.0,0.5627597672485453,0.12136325852036575
2024,505,Metropolitan North,WA,Transition care,691,0.0,0.573082489146165,0.1085383502170767
2024,506,Metropolitan South East,WA,Home care,1751,0.0,0.6099371787549971,0.10908052541404911
2024,506,Metropolitan South East,WA,Permanent residential care,1335,0.0,0.6037453183520599,0.07865168539325842
2024,506,Metropolitan South East,WA,Respite residential care,885,0.0,0.5830508474576271,0.11299435028248588
2024,506,Metropolitan South East,WA,Short-term restorative care,552,0.0,0.6195652173913043,0.09057971014492754
2024,506,Metropolitan South East,WA,Transition care,205,0.0,0.526829268292683,0.08780487804878048
2024,507,Metropolitan South West,WA,Home care,1392,0.0,0.584051724137931,0.09267241379310345
2024,507,Metropolitan South West,WA,Permanent residential care,1701,0.0,0.6025867136978248,0.07818930041152264
2024,507,Metropolitan South West,WA,Respite residential care,1210,0.0,0.5669421487603306,0.10661157024793388
2024,507,Metropolitan South West,WA,Transition care,150,0.0,0.56,0.09333333333333334
2024,508,Mid West,WA,Home care,76,0.0,0.5131578947368421,0.05263157894736842
2024,508,Mid West,WA,Permanent residential care,117,0.0,0.6324786324786325,0.05982905982905983
2024,508,Mid West,WA,Respite residential care,8,0.0,0.75,0.0
2024,508,Mid West,WA,Short-term restorative care,45,0.0,0.6444444444444445,0.06666666666666667
2024,508,Mid West,WA,Transition care,73,0.0,0.5753424657534246,0.0821917808219178
2024,509,Pilbara,WA,Home care,19,0.0,0.631578947368421,0.2631578947368421
2024,509,Pilbara,WA,Permanent residential care,26,0.0,0.5769230769230769,0.4230769230769231
2024,509,Pilbara,WA,Respite residential care,28,0.0,0.5357142857142857,0.35714285714285715
2024,510,South West,WA,Home care,603,0.0,0.5737976782752903,0.1310116086235489
2024,510,South West,WA,Permanent residential care,531,0.0,0.6045197740112994,0.062146892655367235
2024,510,South West,WA,Respite residential care,220,0.0,0.5863636363636363,0.03636363636363636
2024,510,South West,WA,Short-term restorative care,21,0.0,0.6190476190476191,0.047619047619047616
2024,510,South West,WA,Transition care,20,0.0,0.7,0.0
