year,SA3_CODE_2021,SA3_NAME_2021,state,n_sa2s,total_pop,pop_65_plus,pct_65_plus
2023,30906,Nerang,Queensland,5,72372,12095,16.71
2024,30906,Nerang,Queensland,5,73356,12507,17.05
2025,30906,Nerang,Queensland,5,73356,12507,17.05
2023,30907,Ormeau - Oxenford,Queensland,12,174695,21004,12.02
2024,30907,Ormeau - Oxenford,Queensland,12,180138,22174,12.31
2025,30907,Ormeau - Oxenford,Queensland,12,180138,22174,12.31
2023,30908,Robina,Queensland,5,56589,10091,17.83
2024,30908,Robina,Queensland,5,57708,10276,17.81
2025,30908,Robina,Queensland,5,57708,10276,17.81
2023,30909,Southport,Queensland,5,67763,12170,17.96
2024,30909,Southport,Queensland,5,68651,12303,17.92
2025,30909,Southport,Queensland,5,68651,12303,17.92
2023,30910,Surfers Paradise,Queensland,5,49494,10901,22.02
2024,30910,Surfers Paradise,Queensland,5,51179,11509,22.49
2025,30910,Surfers Paradise,Queensland,5,51179,11509,22.49
2023,31001,Forest Lake - Oxley,Queensland,7,83552,10201,12.21
2024,31001,Forest Lake - Oxley,Queensland,7,85221,10609,12.45
2025,31001,Forest Lake - Oxley,Queensland,7,85221,10609,12.45
2023,31002,Ipswich Hinterland,Queensland,6,71745,14401,20.07
2024,31002,Ipswich Hinterland,Queensland,6,73245,14874,20.31
2025,31002,Ipswich Hinterland,Queensland,6,73245,14874,20.31
2023,31003,Ipswich Inner,Queensland,13,125146,17799,14.22
2024,31003,Ipswich Inner,Queensland,13,129524,18511,14.29
2025,31003,Ipswich Inner,Queensland,13,129524,18511,14.29
2023,31004,Springfield - Redbank,Queensland,10,116830,9205,7.88
2024,31004,Springfield - Redbank,Queensland,10,120789,9843,8.15
2025,31004,Springfield - Redbank,Queensland,10,120789,9843,8.15
2023,31101,Beaudesert,Queensland,1,15670,3590,22.91
2024,31101,Beaudesert,Queensland,1,16114,3766,23.37
2025,31101,Beaudesert,Queensland,1,16114,3766,23.37
2023,31102,Beenleigh,Queensland,5,50615,7739,15.29
2024,31102,Beenleigh,Queensland,5,52458,8014,15.28
2025,31102,Beenleigh,Queensland,5,52458,8014,15.28
2023,31103,Browns Plains,Queensland,9,105829,11624,10.98
