sa3_code,sa3_name,year,permanent,respite,total_residential,hcp_level1,hcp_level2,hcp_level3,hcp_level4,total_homecare,total_users,hcp_high_needs,pct_hcp_high
20102.0,Creswick - Daylesford - Ballan,2025,254.0,27.0,281.0,8,152,129,73,362,643.0,202,0.5580110497237569
20103.0,Maryborough - Pyrenees,2024,256.0,8.0,264.0,3,105,62,45,215,479.0,107,0.49767441860465117
20103.0,Maryborough - Pyrenees,2025,259.0,7.0,266.0,3,110,84,72,269,535.0,156,0.5799256505576208
20201.0,Bendigo,2024,1075.0,29.0,1104.0,30,294,239,205,768,1872.0,444,0.578125
20201.0,Bendigo,2025,1116.0,18.0,1134.0,19,247,299,288,853,1987.0,587,0.6881594372801876
20202.0,Heathcote - Castlemaine - Kyneton,2024,488.0,29.0,517.0,18,129,123,103,373,890.0,226,0.6058981233243967
20202.0,Heathcote - Castlemaine - Kyneton,2025,512.0,29.0,541.0,13,115,148,140,416,957.0,288,0.6923076923076923
20203.0,Loddon - Elmore,2024,56.0,1.0,57.0,2,36,25,22,85,142.0,47,0.5529411764705883
20203.0,Loddon - Elmore,2025,51.0,5.0,56.0,0,36,31,35,102,158.0,66,0.6470588235294118
20301.0,Barwon - West,2024,144.0,10.0,154.0,8,77,51,38,174,328.0,89,0.5114942528735632
20301.0,Barwon - West,2025,157.0,10.0,167.0,9,70,59,47,185,352.0,106,0.572972972972973
20302.0,Geelong,2024,2129.0,116.0,2245.0,60,1060,879,801,2800,5045.0,1680,0.6
20302.0,Geelong,2025,2223.0,98.0,2321.0,56,1002,1065,866,2989,5310.0,1931,0.6460354633656742
20303.0,Surf Coast - Bellarine Peninsula,2024,836.0,69.0,905.0,33,398,301,266,998,1903.0,567,0.5681362725450901
20303.0,Surf Coast - Bellarine Peninsula,2025,895.0,36.0,931.0,36,410,382,313,1141,2072.0,695,0.6091148115687993
20401.0,Upper Goulburn Valley,2024,551.0,28.0,579.0,62,211,99,48,420,999.0,147,0.35
20401.0,Upper Goulburn Valley,2025,561.0,25.0,586.0,61,206,101,47,415,1001.0,148,0.3566265060240964
20402.0,Wangaratta - Benalla,2024,556.0,17.0,573.0,12,254,110,59,435,1008.0,169,0.38850574712643676
20402.0,Wangaratta - Benalla,2025,562.0,29.0,591.0,8,205,118,51,382,973.0,169,0.4424083769633508
20403.0,Wodonga - Alpine,2024,531.0,32.0,563.0,16,277,147,81,521,1084.0,228,0.43761996161228406
20403.0,Wodonga - Alpine,2025,554.0,29.0,583.0,14,256,151,69,490,1073.0,220,0.4489795918367347
20501.0,Baw Baw,2024,441.0,9.0,450.0,32,305,263,146,746,1196.0,409,0.5482573726541555
20501.0,Baw Baw,2025,511.0,15.0,526.0,24,260,318,181,783,1309.0,499,0.6372924648786717
20502.0,Gippsland - East,2024,434.0,30.0,464.0,93,524,419,264,1300,1764.0,683,0.5253846153846153
20502.0,Gippsland - East,2025,453.0,40.0,493.0,76,493,522,312,1403,1896.0,834,0.594440484675695
20503.0,Gippsland - South West,2024,690.0,23.0,713.0,103,630,458,407,1598,2311.0,865,0.5413016270337923
20503.0,Gippsland - South West,2025,682.0,34.0,716.0,91,626,565,433,1715,2431.0,998,0.5819241982507288
20504.0,Latrobe Valley,2024,827.0,33.0,860.0,97,637,471,289,1494,2354.0,760,0.5087014725568942
20504.0,Latrobe Valley,2025,873.0,44.0,917.0,85,586,586,319,1576,2493.0,905,0.574238578680203
20505.0,Wellington,2024,393.0,32.0,425.0,101,441,243,140,925,1350.0,383,0.41405405405405404
20505.0,Wellington,2025,396.0,32.0,428.0,79,390,322,178,969,1397.0,500,0.5159958720330238
20601.0,Brunswick - Coburg,2024,373.0,19.0,392.0,15,399,378,376,1168,1560.0,754,0.6455479452054794
20601.0,Brunswick - Coburg,2025,380.0,25.0,405.0,10,335,415,414,1174,1579.0,829,0.7061328790459966
20602.0,Darebin - South,2024,378.0,10.0,388.0,40,356,279,178,853,1241.0,457,0.5357561547479485
20602.0,Darebin - South,2025,391.0,21.0,412.0,33,340,305,221,899,1311.0,526,0.5850945494994438
20603.0,Essendon,2024,557.0,35.0,592.0,10,250,230,210,700,1292.0,440,0.6285714285714286
20603.0,Essendon,2025,587.0,23.0,610.0,7,219,244,235,705,1315.0,479,0.6794326241134752
20604.0,Melbourne City,2024,618.0,31.0,649.0,15,159,175,206,555,1204.0,381,0.6864864864864865
20604.0,Melbourne City,2025,651.0,25.0,676.0,14,133,186,241,574,1250.0,427,0.7439024390243902
20605.0,Port Phillip,2024,465.0,44.0,509.0,2,204,235,246,687,1196.0,481,0.7001455604075691
20605.0,Port Phillip,2025,516.0,44.0,560.0,2,183,282,263,730,1290.0,545,0.7465753424657534
20606.0,Stonnington - West,2024,188.0,6.0,194.0,0,131,170,163,464,658.0,333,0.7176724137931034
20606.0,Stonnington - West,2025,182.0,6.0,188.0,0,108,171,189,468,656.0,360,0.7692307692307693
20607.0,Yarra,2024,229.0,16.0,245.0,100,523,330,288,1241,1486.0,618,0.49798549556809024
20607.0,Yarra,2025,257.0,7.0,264.0,96,494,358,320,1268,1532.0,678,0.5347003154574133
20701.0,Boroondara,2024,1776.0,95.0,1871.0,127,841,504,525,1997,3868.0,1029,0.515272909364046
20701.0,Boroondara,2025,1836.0,107.0,1943.0,137,828,567,665,2197,4140.0,1232,0.5607646791078744
20702.0,Manningham - West,2024,1141.0,72.0,1213.0,197,963,506,447,2113,3326.0,953,0.45101751064836726
20702.0,Manningham - West,2025,1174.0,72.0,1246.0,168,1011,645,483,2307,3553.0,1128,0.4889466840052016
20703.0,Whitehorse - West,2024,974.0,53.0,1027.0,161,886,533,342,1922,2949.0,875,0.45525494276795003
20703.0,Whitehorse - West,2025,1013.0,36.0,1049.0,145,841,620,406,2012,3061.0,1026,0.5099403578528827
20801.0,Bayside,2024,1144.0,63.0,1207.0,28,258,291,266,843,2050.0,557,0.66073546856465
20801.0,Bayside,2025,1204.0,71.0,1275.0,26,262,358,296,942,2217.0,654,0.6942675159235668
20802.0,Glen Eira,2024,1401.0,74.0,1475.0,17,591,628,526,1762,3237.0,1154,0.6549375709421112
20802.0,Glen Eira,2025,1456.0,58.0,1514.0,16,520,722,605,1863,3377.0,1327,0.7122920021470747
20803.0,Kingston,2024,998.0,37.0,1035.0,41,483,497,318,1339,2374.0,815,0.6086631814787155
