sa3_code,sa3_name,state,year,total_pop,pop_65_plus
12301,Camden,NSW,2019,71013.0,7686.0
12301,Camden,NSW,2020,72657.0,8036.0
12301,Camden,NSW,2021,73973.0,8458.0
12301,Camden,NSW,2022,74972.0,8738.0
12301,Camden,NSW,2023,76325.0,9058.0
12301,Camden,NSW,2024,77749.0,9414.0
12302,Campbelltown (NSW),NSW,2019,173644.0,21307.0
12302,Campbelltown (NSW),NSW,2020,177092.0,22424.0
12302,Campbelltown (NSW),NSW,2021,179152.0,23255.0
12302,Campbelltown (NSW),NSW,2022,181889.0,23924.0
12302,Campbelltown (NSW),NSW,2023,186339.0,24909.0
12302,Campbelltown (NSW),NSW,2024,189943.0,25790.0
12303,Wollondilly,NSW,2019,44913.0,6560.0
12303,Wollondilly,NSW,2020,45563.0,6866.0
12303,Wollondilly,NSW,2021,46026.0,7176.0
12303,Wollondilly,NSW,2022,47307.0,7407.0
12303,Wollondilly,NSW,2023,48613.0,7670.0
12303,Wollondilly,NSW,2024,50473.0,8079.0
12401,Blue Mountains,NSW,2019,78894.0,16320.0
12401,Blue Mountains,NSW,2020,78855.0,16866.0
12401,Blue Mountains,NSW,2021,78199.0,17190.0
12401,Blue Mountains,NSW,2022,77768.0,17473.0
12401,Blue Mountains,NSW,2023,78297.0,17932.0
12401,Blue Mountains,NSW,2024,78604.0,18347.0
12402,Blue Mountains - South,NSW,2019,6.0,3.0
12402,Blue Mountains - South,NSW,2020,6.0,3.0
12402,Blue Mountains - South,NSW,2021,7.0,4.0
12402,Blue Mountains - South,NSW,2022,7.0,4.0
12402,Blue Mountains - South,NSW,2023,7.0,4.0
12402,Blue Mountains - South,NSW,2024,7.0,4.0
12403,Penrith,NSW,2019,154621.0,18555.0
12403,Penrith,NSW,2020,157885.0,19385.0
12403,Penrith,NSW,2021,160496.0,20197.0
12403,Penrith,NSW,2022,162639.0,20886.0
12403,Penrith,NSW,2023,165892.0,21636.0
12403,Penrith,NSW,2024,169142.0,22519.0
12404,Richmond - Windsor,NSW,2019,37985.0,5718.0
12404,Richmond - Windsor,NSW,2020,38208.0,6001.0
12404,Richmond - Windsor,NSW,2021,38270.0,6244.0
