sa3_code,sa3_name,year,residential_users,home_care_users,total_users
11603,Mount Druitt,2023,675,929,1604
11603,Mount Druitt,2024,704,981,1685
11603,Mount Druitt,2025,752,1021,1773
11701,Botany,2023,155,450,605
11701,Botany,2024,156,491,647
11701,Botany,2025,156,545,701
11702,"Marrickville - Sydenham -
Petersham",2023,306,419,725
11702,Marrickville - Sydenham - Petersham,2024,304,442,746
11702,Marrickville - Sydenham - Petersham,2025,303,441,744
11703,Sydney Inner City,2023,628,1295,1923
11703,Sydney Inner City,2024,654,1336,1990
11703,Sydney Inner City,2025,673,1334,2007
11801,Eastern Suburbs - North,2023,882,816,1698
11801,Eastern Suburbs - North,2024,926,823,1749
11801,Eastern Suburbs - North,2025,934,852,1786
11802,Eastern Suburbs - South,2023,1065,1197,2262
11802,Eastern Suburbs - South,2024,1054,1274,2328
11802,Eastern Suburbs - South,2025,1059,1328,2387
11901,Bankstown,2023,1559,2059,3618
11901,Bankstown,2024,1605,2244,3849
11901,Bankstown,2025,1659,2372,4031
11902,Canterbury,2023,737,1784,2521
11902,Canterbury,2024,796,1804,2600
11902,Canterbury,2025,866,1904,2770
11903,Hurstville,2023,1158,1623,2781
11903,Hurstville,2024,1232,1795,3027
11903,Hurstville,2025,1243,1976,3219
11904,Kogarah - Rockdale,2023,1335,1422,2757
11904,Kogarah - Rockdale,2024,1351,1592,2943
11904,Kogarah - Rockdale,2025,1373,1712,3085
12001,Canada Bay,2023,665,843,1508
12001,Canada Bay,2024,674,843,1517
12001,Canada Bay,2025,672,853,1525
12002,Leichhardt,2023,339,344,683
12002,Leichhardt,2024,335,361,696
12002,Leichhardt,2025,332,349,681
12003,Strathfield - Burwood - Ashfield,2023,1551,1696,3247
12003,Strathfield - Burwood - Ashfield,2024,1532,1724,3256
12003,Strathfield - Burwood - Ashfield,2025,1425,1707,3132
12101,Chatswood - Lane Cove,2023,753,833,1586
12101,Chatswood - Lane Cove,2024,784,863,1647
12101,Chatswood - Lane Cove,2025,837,915,1752
12102,Hornsby,2023,771,757,1528
12102,Hornsby,2024,796,815,1611
12102,Hornsby,2025,868,840,1708
12103,Ku-ring-gai,2023,1166,1097,2263
12103,Ku-ring-gai,2024,1286,1135,2421
12103,Ku-ring-gai,2025,1461,1102,2563
12104,North Sydney - Mosman,2023,412,596,1008
12104,North Sydney - Mosman,2024,460,598,1058
12104,North Sydney - Mosman,2025,504,604,1108
12201,Manly,2023,165,233,398
12201,Manly,2024,168,235,403
12201,Manly,2025,166,217,383
12202,Pittwater,2023,621,592,1213
12202,Pittwater,2024,627,600,1227
12202,Pittwater,2025,598,556,1154
12203,Warringah,2023,1395,1455,2850
12203,Warringah,2024,1373,1457,2830
12203,Warringah,2025,1384,1432,2816
12301,Camden,2023,513,243,756
12301,Camden,2024,517,264,781
12301,Camden,2025,527,261,788
12302,Campbelltown (NSW),2023,970,964,1934
12302,Campbelltown (NSW),2024,1088,991,2079
12302,Campbelltown (NSW),2025,1282,1015,2297
12303,Wollondilly,2023,261,193,454
12303,Wollondilly,2024,255,213,468
12303,Wollondilly,2025,260,197,457
12401,Blue Mountains,2023,581,750,1331
12401,Blue Mountains,2024,615,803,1418
12401,Blue Mountains,2025,650,807,1457
12403,Penrith,2023,967,1077,2044
12403,Penrith,2024,1002,1162,2164
12403,Penrith,2025,1000,1161,2161
12404,Richmond - Windsor,2023,373,302,675
12404,Richmond - Windsor,2024,378,316,694
12404,Richmond - Windsor,2025,378,346,724
12405,St Marys,2023,246,416,662
12405,St Marys,2024,240,470,710
12405,St Marys,2025,234,473,707
12501,Auburn,2023,373,921,1294
12501,Auburn,2024,357,995,1352
12501,Auburn,2025,382,1047,1429
12502,Carlingford,2023,206,775,981
12502,Carlingford,2024,208,799,1007
12502,Carlingford,2025,207,821,1028
12503,Merrylands - Guildford,2023,966,1831,2797
12503,Merrylands - Guildford,2024,995,1953,2948
12503,Merrylands - Guildford,2025,1041,2049,3090
12504,Parramatta,2023,1267,1341,2608
12504,Parramatta,2024,1379,1431,2810
12504,Parramatta,2025,1484,1441,2925
12601,Pennant Hills - Epping,2023,202,473,675
12601,Pennant Hills - Epping,2024,229,496,725
12601,Pennant Hills - Epping,2025,282,495,777
12602,Ryde - Hunters Hill,2023,1369,1661,3030
12602,Ryde - Hunters Hill,2024,1404,1780,3184
12602,Ryde - Hunters Hill,2025,1464,1858,3322
12701,Bringelly - Green Valley,2023,385,782,1167
12701,Bringelly - Green Valley,2024,428,902,1330
12701,Bringelly - Green Valley,2025,456,996,1452
12702,Fairfield,2023,1238,2791,4029
12702,Fairfield,2024,1304,3193,4497
12702,Fairfield,2025,1312,3502,4814
12703,Liverpool,2023,715,1218,1933
12703,Liverpool,2024,736,1351,2087
12703,Liverpool,2025,592,1439,2031
12801,Cronulla - Miranda - Caringbah,2023,1114,1005,2119
12801,Cronulla - Miranda - Caringbah,2024,1145,1077,2222
12801,Cronulla - Miranda - Caringbah,2025,1187,1116,2303
12802,Sutherland - Menai - Heathcote,2023,1162,893,2055
12802,Sutherland - Menai - Heathcote,2024,1296,916,2212
12802,Sutherland - Menai - Heathcote,2025,1306,942,2248
20101,Ballarat,2023,1081,1308,2389
20101,Ballarat,2024,1135,1405,2540
20101,Ballarat,2025,1157,1451,2608
20102,Creswick - Daylesford - Ballan,2023,241,305,546
20102,Creswick - Daylesford - Ballan,2024,268,333,601
20102,Creswick - Daylesford - Ballan,2025,281,362,643
