acpr_code,acpr_name,state,year,total_users,n_permanent,n_respite,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
506.0,Metropolitan South East,WA,2020,3209,3157,52,41,1074,2135,618,805,2,5,22,48,115,229,345,593,803,677,318,52
507.0,Metropolitan South West,WA,2020,3674,3588,86,15,1182,2492,621,891,2,6,20,34,114,183,423,655,937,870,367,63
508.0,Mid West,WA,2020,267,267,0,18,97,170,29,33,1,1,1,4,10,14,43,56,59,55,20,3
509.0,Pilbara,WA,2020,59,57,2,44,32,27,0,3,2,3,5,9,11,7,4,11,2,3,2,0
510.0,South West,WA,2020,1127,1092,35,12,352,775,102,236,4,2,8,11,26,67,112,201,286,288,106,16
511.0,Wheatbelt,WA,2020,301,293,8,13,107,194,19,39,0,0,1,4,9,21,39,70,64,69,23,1
601.0,North Western,Tas,2020,1040,1020,20,13,340,700,43,107,5,11,5,19,24,73,104,217,247,236,87,12
602.0,Northern,Tas,2020,1348,1308,40,9,470,878,78,141,1,3,8,17,46,113,149,263,314,301,120,13
603.0,Southern,Tas,2020,2172,2127,45,20,717,1455,199,262,3,4,11,29,94,166,259,369,509,498,201,29
701.0,Alice Springs,NT,2020,155,134,21,98,46,109,10,6,1,1,6,13,11,25,24,28,27,12,5,2
703.0,Darwin,NT,2020,323,311,12,68,129,194,63,41,0,1,7,7,27,46,41,69,61,48,11,5
705.0,Katherine,NT,2020,50,44,6,29,30,20,2,3,0,1,4,4,6,10,10,6,6,2,1,0
801.0,ACT,ACT,2020,2289,2252,37,8,767,1522,483,301,0,0,5,13,78,173,252,440,542,524,232,30
101,Central Coast,NSW,2022,3293,3124,169,37,1072,2221,281,415,1,2,17,30,98,203,403,582,795,764,341,57
102,Central West,NSW,2022,1817,1745,72,51,679,1138,98,102,4,10,25,30,81,159,202,329,408,391,154,24
103,Far North Coast,NSW,2022,3195,3088,107,47,1139,2056,175,328,4,7,15,33,115,212,371,545,735,743,349,66
104,Hunter,NSW,2022,5720,5541,179,72,1932,3788,406,433,8,6,19,47,164,379,731,1058,1347,1295,557,109
105,Illawarra,NSW,2022,3830,3727,103,48,1315,2515,697,470,3,3,18,35,111,275,479,680,942,878,349,57
106,Inner West,NSW,2022,3516,3344,172,20,1310,2206,1818,215,4,5,17,48,129,282,406,614,879,745,326,61
107,Mid North Coast,NSW,2022,3731,3545,186,84,1317,2414,217,359,4,10,22,48,121,266,429,680,849,835,393,74
108,Nepean,NSW,2022,2125,2042,83,28,684,1441,351,305,2,1,10,15,80,179,310,418,494,386,200,30
109,New England,NSW,2022,1479,1406,73,45,507,972,39,77,1,3,8,21,52,110,151,291,392,305,124,21
110,Northern Sydney,NSW,2022,7507,7107,400,8,2405,5102,1653,896,4,5,13,36,165,411,716,1248,1732,1965,1033,179
111,Orana Far West,NSW,2022,1295,1226,69,51,427,868,49,54,0,2,5,18,43,112,168,266,318,249,104,10
112,Riverina/Murray,NSW,2022,2539,2414,125,31,864,1675,185,140,0,2,8,35,76,175,287,466,618,577,253,41
113,South East Sydney,NSW,2022,7434,6972,462,38,2576,4858,2260,649,10,9,26,59,230,469,792,1265,1752,1775,865,182
114,South West Sydney,NSW,2022,6353,6034,319,44,2220,4133,2617,514,2,6,16,44,207,503,791,1204,1514,1409,557,100
115,Southern Highlands,NSW,2022,1857,1766,91,23,614,1243,183,169,2,2,11,25,50,117,202,364,443,420,195,26
116,Western Sydney,NSW,2022,5403,5123,280,44,1898,3505,2132,434,9,12,25,44,197,393,721,974,1299,1128,523,78
201,Barwon-South Western,Vic,2022,4294,4157,137,15,1371,2923,526,417,4,7,22,44,127,289,475,732,1052,1031,446,65
202,Eastern Metro,Vic,2022,10026,9630,396,14,3193,6833,2820,1034,16,15,44,81,220,523,958,1764,2510,2579,1124,192
203,Gippsland,Vic,2022,2859,2706,153,22,1019,1840,318,361,10,16,31,41,106,242,331,468,693,638,227,56
204,Grampians,Vic,2022,2493,2415,78,8,794,1699,173,206,2,7,15,27,77,193,249,408,612,584,276,43
205,Hume,Vic,2022,2723,2584,139,8,928,1795,245,194,4,3,14,23,85,149,313,506,629,665,293,39
206,Loddon-Mallee,Vic,2022,3387,3278,109,19,1143,2244,192,189,5,10,13,36,112,231,334,584,853,764,384,61
207,Northern Metro,Vic,2022,6048,5765,283,15,2064,3984,2560,424,2,15,32,79,210,457,690,1062,1510,1376,535,80
208,Southern Metro,Vic,2022,11610,11258,352,24,3940,7670,3172,1564,14,15,44,95,362,802,1327,2073,2764,2720,1176,218
209,Western Metro,Vic,2022,5061,4851,210,20,1737,3324,2287,421,12,17,32,80,223,374,624,905,1178,1084,456,76
301,Brisbane North,Qld,2022,4138,4026,112,20,1369,2769,483,447,4,2,8,38,129,305,497,715,965,929,468,78
302,Brisbane South,Qld,2022,6108,5888,220,41,2057,4051,993,845,2,3,20,44,193,435,742,1132,1486,1359,590,102
303,Cabool,Qld,2022,3844,3730,114,31,1346,2498,252,593,0,7,13,31,134,318,535,736,883,821,315,51
304,Central West,Qld,2022,57,54,3,2,34,23,1,2,0,0,1,3,4,2,10,10,17,7,3,0
305,Darling Downs,Qld,2022,2555,2453,102,44,873,1682,111,186,4,7,4,21,88,173,338,494,615,559,225,27
306,Far North,Qld,2022,1934,1820,114,195,751,1183,246,212,2,5,17,35,113,173,268,392,410,339,157,23
307,Fitzroy,Qld,2022,1309,1275,34,34,474,835,53,92,3,3,1,16,51,83,181,270,317,271,97,16
308,Logan River Valley,Qld,2022,2281,2196,85,68,830,1451,338,406,1,2,11,19,113,224,374,445,504,407,157,24
309,Mackay,Qld,2022,899,885,14,13,296,603,71,71,1,0,1,8,30,64,118,183,240,176,66,12
310,North West,Qld,2022,54,53,1,13,23,31,5,1,0,0,1,1,0,6,13,14,12,5,2,0
311,Northern,Qld,2022,1729,1679,50,83,599,1130,141,115,3,5,6,14,59,143,236,377,397,336,135,18
312,South Coast,Qld,2022,4969,4809,160,25,1790,3179,657,970,3,8,14,42,145,362,671,925,1159,1068,492,80
313,South West,Qld,2022,161,156,5,13,54,107,1,5,0,1,0,0,4,16,31,31,29,30,16,3
314,Sunshine Coast,Qld,2022,4254,4068,186,27,1537,2717,344,677,3,5,14,24,124,282,513,763,1041,984,432,69
315,West Moreton,Qld,2022,1238,1201,37,16,440,798,66,123,0,1,3,7,48,105,161,239,289,260,111,14
316,Wide Bay,Qld,2022,2342,2257,85,50,809,1533,141,245,0,4,7,22,81,151,314,461,558,508,210,26
401,Eyre Peninsula,SA,2022,236,222,14,4,85,151,19,35,0,1,2,5,7,11,29,56,49,50,24,2
402,"Hills, Mallee & Southern",SA,2022,1381,1314,67,12,450,931,115,219,0,1,5,8,34,75,159,229,331,340,167,32
403,Metropolitan East,SA,2022,2705,2562,143,3,853,1852,594,326,0,2,4,13,56,144,257,438,634,709,382,66
404,Metropolitan North,SA,2022,3162,2965,197,25,1072,2090,608,717,1,5,7,27,127,263,393,602,725,694,272,46
405,Metropolitan South,SA,2022,3751,3557,194,11,1222,2529,437,664,2,3,8,24,102,262,437,585,840,904,479,105
406,Metropolitan West,SA,2022,2591,2458,133,15,886,1705,880,238,2,2,7,23,83,184,280,460,604,625,270,51
407,Mid North,SA,2022,302,288,14,2,112,190,19,21,0,1,1,4,13,23,26,59,63,72,29,11
408,Riverland,SA,2022,361,339,22,4,130,231,35,22,1,1,2,7,14,27,42,62,81,72,43,9
409,South East,SA,2022,608,583,25,5,187,421,39,43,0,1,1,3,16,44,75,116,158,121,63,10
410,Flinders & Far North,SA,2022,94,84,10,5,40,54,11,11,0,0,0,1,4,10,18,16,26,13,6,0
411,"Yorke, Lower North & Barossa",SA,2022,1252,1196,56,11,409,843,51,146,3,3,5,7,38,84,154,227,311,284,116,20
501,Goldfields,WA,2022,181,179,2,25,61,120,13,26,0,1,4,1,7,18,30,36,37,27,17,3
502,Great Southern,WA,2022,396,393,3,5,131,265,29,88,0,0,2,8,14,25,47,80,93,81,42,4
503,Kimberley,WA,2022,107,104,3,76,47,60,4,2,0,5,4,6,13,14,16,19,16,7,6,1
504,Metropolitan East,WA,2022,2497,2449,48,19,897,1600,606,526,1,2,8,53,103,221,325,460,534,533,223,34
505,Metropolitan North,WA,2022,4710,4642,68,16,1515,3195,991,1095,1,4,17,19,120,301,479,815,1152,1152,553,97
506,Metropolitan South East,WA,2022,3380,3311,69,56,1159,2221,671,805,1,3,18,31,110,244,422,645,772,757,322,55
507,Metropolitan South West,WA,2022,3886,3830,56,21,1253,2633,643,965,0,2,9,24,117,236,408,783,903,921,410,73
508,Mid West,WA,2022,274,273,1,13,94,180,20,36,0,0,1,3,5,27,32,55,73,56,19,3
509,Pilbara,WA,2022,58,55,3,41,33,25,1,5,1,3,6,10,7,7,7,12,2,3,0,0
510,South West,WA,2022,1102,1085,17,13,339,763,96,224,0,4,5,12,30,59,110,201,282,282,97,20
511,Wheatbelt,WA,2022,276,266,10,14,100,176,19,35,0,0,1,1,9,31,33,58,64,52,23,4
601,North Western,Tas,2022,1085,1069,16,17,375,710,51,98,3,2,8,17,27,71,133,224,282,206,101,11
602,Northern,Tas,2022,1378,1330,48,11,477,901,93,146,0,2,3,8,64,99,187,225,341,299,125,25
603,Southern,Tas,2022,2119,2059,60,22,713,1406,198,292,0,6,7,15,81,167,260,387,509,479,177,31
701,Alice Springs,NT,2022,145,116,29,93,55,90,10,7,1,2,7,12,13,28,18,22,22,14,5,1
703,Darwin,NT,2022,321,305,16,63,136,185,59,52,0,0,1,5,22,46,62,52,63,55,11,4
705,Katherine,NT,2022,48,45,3,29,26,22,1,1,0,0,3,5,5,8,9,3,11,1,2,1
801,ACT,ACT,2022,2335,2273,62,8,765,1570,484,310,0,0,3,5,59,164,274,423,598,512,265,32
101,Central Coast,NSW,2023,3387,3216,171,37,1156,2231,320,411,0,0,11,24,85,225,425,618,856,740,338,65
102,Central West,NSW,2023,1800,1727,73,54,666,1134,87,98,1,5,17,21,79,146,231,337,438,342,161,22
103,Far North Coast,NSW,2023,3075,2987,88,46,1112,1963,174,309,2,6,7,20,90,184,360,546,760,709,332,59
104,Hunter,NSW,2023,5759,5570,189,77,1931,3827,404,442,5,5,11,38,162,393,769,1033,1452,1272,521,98
105,Illawarra,NSW,2023,3832,3729,103,57,1317,2515,670,462,0,1,11,25,102,289,443,717,997,836,367,44
106,Inner West,NSW,2023,3599,3424,175,19,1351,2247,1890,217,1,6,9,30,112,274,452,619,913,769,354,60
107,Mid North Coast,NSW,2023,3808,3617,191,87,1332,2476,222,375,3,7,19,35,106,271,459,731,895,817,401,64
108,Nepean,NSW,2023,2260,2186,74,25,781,1479,364,297,1,0,4,9,79,196,363,442,504,426,199,37
109,New England,NSW,2023,1401,1336,65,45,481,920,45,67,0,1,6,13,44,101,159,267,376,287,123,24
110,Northern Sydney,NSW,2023,7647,7301,346,16,2472,5174,1737,897,0,2,14,26,140,395,776,1292,1837,1940,1027,198
111,Orana Far West,NSW,2023,1297,1223,74,58,443,854,41,53,0,2,2,17,43,94,188,258,323,247,111,12
112,Riverina/Murray,NSW,2023,2633,2484,149,33,925,1707,192,146,0,2,4,22,85,189,304,471,698,564,260,34
113,South East Sydney,NSW,2023,7499,7051,448,49,2646,4853,2316,675,6,6,20,45,206,484,857,1296,1809,1743,860,167
114,South West Sydney,NSW,2023,6590,6251,339,52,2359,4231,2786,486,1,4,10,36,219,502,879,1286,1633,1365,547,108
115,Southern Highlands,NSW,2023,1907,1792,115,23,668,1239,180,173,2,2,11,14,45,123,245,343,480,428,186,28
116,Western Sydney,NSW,2023,5425,5105,320,49,1888,3537,2169,439,6,11,16,40,149,398,751,1056,1282,1133,500,83
201,Barwon-South Western,Vic,2023,4267,4081,186,19,1386,2881,517,399,1,5,14,30,141,299,493,733,1039,969,478,65
202,Eastern Metro,Vic,2023,10310,9837,473,15,3364,6946,2922,1020,10,12,31,59,208,525,1078,1875,2604,2531,1189,188
203,Gippsland,Vic,2023,2893,2718,175,26,1018,1875,301,359,4,11,30,36,97,231,374,497,672,643,252,46
204,Grampians,Vic,2023,2484,2397,87,11,853,1631,191,185,2,5,9,23,65,185,275,417,602,573,280,48
205,Hume,Vic,2023,2757,2628,129,10,953,1804,241,202,3,0,11,19,78,170,306,493,715,631,285,46
206,Loddon-Mallee,Vic,2023,3446,3315,131,21,1156,2289,213,162,5,6,7,27,102,213,380,598,869,824,362,53
207,Northern Metro,Vic,2023,6100,5816,284,15,2090,4009,2632,417,0,8,31,52,199,450,773,1061,1527,1343,575,81
208,Southern Metro,Vic,2023,12059,11526,533,23,4116,7943,3238,1561,9,13,30,83,361,832,1440,2135,2891,2759,1277,229
209,Western Metro,Vic,2023,5341,5097,244,19,1849,3491,2370,430,7,12,21,59,195,421,698,1003,1274,1081,487,83
301,Brisbane North,Qld,2023,4326,4165,161,26,1446,2880,505,475,2,2,6,21,120,327,530,820,1030,946,452,70
302,Brisbane South,Qld,2023,6330,6074,256,47,2170,4160,1025,839,2,0,12,30,198,452,827,1208,1520,1391,601,89
303,Cabool,Qld,2023,3925,3811,114,42,1413,2511,277,624,0,4,5,27,130,322,575,768,922,797,309,66
304,Central West,Qld,2023,50,47,3,2,27,23,0,3,0,0,0,1,4,5,6,10,12,11,1,0
305,Darling Downs,Qld,2023,2641,2555,86,40,896,1745,117,180,2,4,7,12,85,196,347,516,661,539,239,33
