YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,INDIGENOUS_STATUS,count
2024,114,South West Sydney,Permanent residential care,Unknown,478
2024,114,South West Sydney,Respite residential care,Indigenous,52
2024,114,South West Sydney,Respite residential care,Non-Indigenous,3100
2024,114,South West Sydney,Respite residential care,Unknown,690
2024,114,South West Sydney,Short-term restorative care,Non-Indigenous,107
2024,114,South West Sydney,Short-term restorative care,Unknown,29
2024,114,South West Sydney,Transition care,Indigenous,8
2024,114,South West Sydney,Transition care,Non-Indigenous,227
2024,114,South West Sydney,Transition care,Unknown,121
2024,115,Southern Highlands,Home care,Indigenous,15
2024,115,Southern Highlands,Home care,Non-Indigenous,479
2024,115,Southern Highlands,Home care,Unknown,46
2024,115,Southern Highlands,Permanent residential care,Indigenous,13
2024,115,Southern Highlands,Permanent residential care,Non-Indigenous,721
2024,115,Southern Highlands,Permanent residential care,Unknown,82
2024,115,Southern Highlands,Respite residential care,Indigenous,16
2024,115,Southern Highlands,Respite residential care,Non-Indigenous,1092
2024,115,Southern Highlands,Respite residential care,Unknown,92
2024,115,Southern Highlands,Short-term restorative care,Non-Indigenous,2
2024,115,Southern Highlands,Transition care,Indigenous,4
2024,115,Southern Highlands,Transition care,Non-Indigenous,179
2024,115,Southern Highlands,Transition care,Unknown,28
2024,116,Western Sydney,Home care,Indigenous,88
2024,116,Western Sydney,Home care,Non-Indigenous,3927
2024,116,Western Sydney,Home care,Unknown,490
2024,116,Western Sydney,Permanent residential care,Indigenous,23
2024,116,Western Sydney,Permanent residential care,Non-Indigenous,1699
2024,116,Western Sydney,Permanent residential care,Unknown,327
2024,116,Western Sydney,Respite residential care,Indigenous,26
2024,116,Western Sydney,Respite residential care,Non-Indigenous,2778
2024,116,Western Sydney,Respite residential care,Unknown,542
2024,116,Western Sydney,Short-term restorative care,Indigenous,32
2024,116,Western Sydney,Short-term restorative care,Non-Indigenous,204
2024,116,Western Sydney,Short-term restorative care,Unknown,67
2024,116,Western Sydney,Transition care,Indigenous,2
2024,116,Western Sydney,Transition care,Non-Indigenous,214
2024,116,Western Sydney,Transition care,Unknown,112
2024,201,Barwon-South Western,Home care,Indigenous,13
2024,201,Barwon-South Western,Home care,Non-Indigenous,1327
2024,201,Barwon-South Western,Home care,Unknown,113
2024,201,Barwon-South Western,Permanent residential care,Indigenous,5
2024,201,Barwon-South Western,Permanent residential care,Non-Indigenous,1587
2024,201,Barwon-South Western,Permanent residential care,Unknown,254
2024,201,Barwon-South Western,Respite residential care,Indigenous,10
2024,201,Barwon-South Western,Respite residential care,Non-Indigenous,2659
2024,201,Barwon-South Western,Respite residential care,Unknown,286
2024,201,Barwon-South Western,Short-term restorative care,Non-Indigenous,130
2024,201,Barwon-South Western,Short-term restorative care,Unknown,36
2024,201,Barwon-South Western,Transition care,Indigenous,3
2024,201,Barwon-South Western,Transition care,Non-Indigenous,241
2024,201,Barwon-South Western,Transition care,Unknown,73
2024,202,Eastern Metro,Home care,Indigenous,67
2024,202,Eastern Metro,Home care,Non-Indigenous,6224
2024,202,Eastern Metro,Home care,Unknown,663
2024,202,Eastern Metro,Permanent residential care,Indigenous,10
2024,202,Eastern Metro,Permanent residential care,Non-Indigenous,3421
2024,202,Eastern Metro,Permanent residential care,Unknown,523
2024,202,Eastern Metro,Respite residential care,Indigenous,13
2024,202,Eastern Metro,Respite residential care,Non-Indigenous,5855
2024,202,Eastern Metro,Respite residential care,Unknown,695
2024,202,Eastern Metro,Short-term restorative care,Indigenous,2
2024,202,Eastern Metro,Short-term restorative care,Non-Indigenous,601
2024,202,Eastern Metro,Short-term restorative care,Unknown,174
2024,202,Eastern Metro,Transition care,Indigenous,1
2024,202,Eastern Metro,Transition care,Non-Indigenous,447
2024,202,Eastern Metro,Transition care,Unknown,90
2024,203,Gippsland,Home care,Indigenous,35
2024,203,Gippsland,Home care,Non-Indigenous,1104
2024,203,Gippsland,Home care,Unknown,141
2024,203,Gippsland,Permanent residential care,Indigenous,18
2024,203,Gippsland,Permanent residential care,Non-Indigenous,1019
2024,203,Gippsland,Permanent residential care,Unknown,173
2024,203,Gippsland,Respite residential care,Indigenous,23
2024,203,Gippsland,Respite residential care,Non-Indigenous,1690
2024,203,Gippsland,Respite residential care,Unknown,222
2024,203,Gippsland,Short-term restorative care,Non-Indigenous,35
2024,203,Gippsland,Short-term restorative care,Unknown,8
